      #Energy        TDOS-UP        TDOS-DOWN
     -33.76593       0.00000       0.00000
     -33.75293       0.00000       0.00000
     -33.73893       0.00000       0.00000
     -33.72593       0.00000       0.00000
     -33.71293       0.00000       0.00000
     -33.69893       0.00000       0.00000
     -33.68593       0.00000       0.00000
     -33.67293       0.00000       0.00000
     -33.65893       0.00000       0.00000
     -33.64593       0.00000       0.00000
     -33.63293       0.00000       0.00000
     -33.61893       0.00000       0.00000
     -33.60593       0.00000       0.00000
     -33.59293       0.00000       0.00000
     -33.57893       0.00000       0.00000
     -33.56593       0.00000       0.00000
     -33.55293       0.00000       0.00000
     -33.53893       0.00000       0.00000
     -33.52593       0.00000       0.00000
     -33.51293       0.00000       0.00000
     -33.49893       0.00000       0.00000
     -33.48593       0.00000       0.00000
     -33.47293       0.00000       0.00000
     -33.45893       0.00000       0.00000
     -33.44593       0.00000       0.00000
     -33.43293       0.00000       0.00000
     -33.41893       0.00000       0.00000
     -33.40593       0.00000       0.00000
     -33.39293       0.00000       0.00000
     -33.37893       0.00000       0.00000
     -33.36593       0.00000       0.00000
     -33.35293       0.00000       0.00000
     -33.33893       0.00000       0.00000
     -33.32593       0.00000       0.00000
     -33.31293       0.00000       0.00000
     -33.29893       0.00000       0.00000
     -33.28593       0.00000       0.00000
     -33.27293       0.00000       0.00000
     -33.25893       0.00000       0.00000
     -33.24593       0.00000       0.00000
     -33.23193       0.00000       0.00000
     -33.21893       0.00000       0.00000
     -33.20593       0.00000       0.00000
     -33.19193       0.00000       0.00000
     -33.17893       0.00000       0.00000
     -33.16593       0.00000       0.00000
     -33.15193       0.00000       0.00000
     -33.13893       0.00000       0.00000
     -33.12593       0.00000       0.00000
     -33.11193       0.00000       0.00000
     -33.09893       0.00000       0.00000
     -33.08593       0.00000       0.00000
     -33.07193       0.00000       0.00000
     -33.05893       0.00000       0.00000
     -33.04593       0.00000       0.00000
     -33.03193       0.00000       0.00000
     -33.01893       0.00000       0.00000
     -33.00593       0.00000       0.00000
     -32.99193       0.00000       0.00000
     -32.97893       0.00000       0.00000
     -32.96593       0.00000       0.00000
     -32.95193       0.00000       0.00000
     -32.93893       0.00000       0.00000
     -32.92593       0.00000       0.00000
     -32.91193       0.00000       0.00000
     -32.89893       0.00000       0.00000
     -32.88593       0.00000       0.00000
     -32.87193       0.00000       0.00000
     -32.85893       0.00000       0.00000
     -32.84593       0.00000       0.00000
     -32.83193       0.00000       0.00000
     -32.81893       0.00000       0.00000
     -32.80593       0.00000       0.00000
     -32.79193       0.00000       0.00000
     -32.77893       0.00000       0.00000
     -32.76593       0.00000       0.00000
     -32.75193       0.00000       0.00000
     -32.73893       0.00000       0.00000
     -32.72593       0.00000       0.00000
     -32.71193       0.00000       0.00000
     -32.69893       0.00000       0.00000
     -32.68593       0.00000       0.00000
     -32.67193       0.00000       0.00000
     -32.65893       0.00000       0.00000
     -32.64593       0.00000       0.00000
     -32.63193       0.00000       0.00000
     -32.61893       0.00000       0.00000
     -32.60593       0.00000       0.00000
     -32.59193       0.00000       0.00000
     -32.57893       0.00000       0.00000
     -32.56593       0.00000       0.00000
     -32.55193       0.00000       0.00000
     -32.53893       0.00000       0.00000
     -32.52593       0.00000       0.00000
     -32.51193       0.00000       0.00000
     -32.49893       0.00000       0.00000
     -32.48593       0.00000       0.00000
     -32.47193       0.00000       0.00000
     -32.45893       0.00000       0.00000
     -32.44593       0.00000       0.00000
     -32.43193       0.00000       0.00000
     -32.41893       0.00000       0.00000
     -32.40593       0.00000       0.00000
     -32.39193       0.00000       0.00000
     -32.37893       0.00000       0.00000
     -32.36593       0.00000       0.00000
     -32.35193       0.00000       0.00000
     -32.33893       0.00000       0.00000
     -32.32593       0.00000       0.00000
     -32.31193       0.00000       0.00000
     -32.29893       0.00000       0.00000
     -32.28593       0.00000       0.00000
     -32.27193       0.00000       0.00000
     -32.25893       0.00000       0.00000
     -32.24493       0.00000       0.00000
     -32.23193       0.00000       0.00000
     -32.21893       0.00000       0.00000
     -32.20493       0.00000       0.00000
     -32.19193       0.00000       0.00000
     -32.17893       0.00000       0.00000
     -32.16493       0.00000       0.00000
     -32.15193       0.00000       0.00000
     -32.13893       0.00000       0.00000
     -32.12493       0.00000       0.00000
     -32.11193       0.00000       0.00000
     -32.09893       0.00000       0.00000
     -32.08493       0.00000       0.00000
     -32.07193       0.00000       0.00000
     -32.05893       0.00000       0.00000
     -32.04493       0.00000       0.00000
     -32.03193       0.00000       0.00000
     -32.01893       0.00000       0.00000
     -32.00493       0.00000       0.00000
     -31.99193       0.00000       0.00000
     -31.97893       0.00000       0.00000
     -31.96493       0.00000       0.00000
     -31.95193       0.00000       0.00000
     -31.93893       0.00000       0.00000
     -31.92493       0.00000       0.00000
     -31.91193       0.00000       0.00000
     -31.89893       0.00000       0.00000
     -31.88493       0.00000       0.00000
     -31.87193       0.00000       0.00000
     -31.85893       0.00000       0.00000
     -31.84493       0.00000       0.00000
     -31.83193       0.00000       0.00000
     -31.81893       0.00000       0.00000
     -31.80493       0.00000       0.00000
     -31.79193       0.00000       0.00000
     -31.77893       0.00000       0.00000
     -31.76493       0.00000       0.00000
     -31.75193       0.00000       0.00000
     -31.73893       0.00000       0.00000
     -31.72493       0.00000       0.00000
     -31.71193       0.00000       0.00000
     -31.69893       0.00000       0.00000
     -31.68493       0.00000       0.00000
     -31.67193       0.00000       0.00000
     -31.65893       0.00000       0.00000
     -31.64493       0.00000       0.00000
     -31.63193       0.00000       0.00000
     -31.61893       0.00000       0.00000
     -31.60493       0.00000       0.00000
     -31.59193       0.00000       0.00000
     -31.57893       0.00000       0.00000
     -31.56493       0.00000       0.00000
     -31.55193       0.00000       0.00000
     -31.53893       0.00000       0.00000
     -31.52493       0.00000       0.00000
     -31.51193       0.00000       0.00000
     -31.49893       0.00000       0.00000
     -31.48493       0.00000       0.00000
     -31.47193       0.00000       0.00000
     -31.45893       0.00000       0.00000
     -31.44493       0.00000       0.00000
     -31.43193       0.00000       0.00000
     -31.41893       0.00000       0.00000
     -31.40493       0.00000       0.00000
     -31.39193       0.00000       0.00000
     -31.37893       0.00000       0.00000
     -31.36493       0.00000       0.00000
     -31.35193       0.00000       0.00000
     -31.33893       0.00000       0.00000
     -31.32493       0.00000       0.00000
     -31.31193       0.00000       0.00000
     -31.29893       0.00000       0.00000
     -31.28493       0.00000       0.00000
     -31.27193       0.00000       0.00000
     -31.25793       0.00000       0.00000
     -31.24493       0.00000       0.00000
     -31.23193       0.00000       0.00000
     -31.21793       0.00000       0.00000
     -31.20493       0.00000       0.00000
     -31.19193       0.00000       0.00000
     -31.17793       0.00000       0.00000
     -31.16493       0.00000       0.00000
     -31.15193       0.00000       0.00000
     -31.13793       0.00000       0.00000
     -31.12493       0.00000       0.00000
     -31.11193       0.00000       0.00000
     -31.09793       0.00000       0.00000
     -31.08493       0.00000       0.00000
     -31.07193       0.00000       0.00000
     -31.05793       0.00000       0.00000
     -31.04493       0.00000       0.00000
     -31.03193       0.00000       0.00000
     -31.01793       0.00000       0.00000
     -31.00493       0.00000       0.00000
     -30.99193       0.00000       0.00000
     -30.97793       0.00000       0.00000
     -30.96493       0.00000       0.00000
     -30.95193       0.00000       0.00000
     -30.93793       0.00000       0.00000
     -30.92493       0.00000       0.00000
     -30.91193       0.00000       0.00000
     -30.89793       0.00000       0.00000
     -30.88493       0.00000       0.00000
     -30.87193       0.00000       0.00000
     -30.85793       0.00000       0.00000
     -30.84493       0.00000       0.00000
     -30.83193       0.00000       0.00000
     -30.81793       0.00000       0.00000
     -30.80493       0.00000       0.00000
     -30.79193       0.00000       0.00000
     -30.77793       0.00000       0.00000
     -30.76493       0.00000       0.00000
     -30.75193       0.00000       0.00000
     -30.73793       0.00000       0.00000
     -30.72493       0.00000       0.00000
     -30.71193       0.00000       0.00000
     -30.69793       0.00000       0.00000
     -30.68493       0.00000       0.00000
     -30.67193       0.00000       0.00000
     -30.65793       0.00000       0.00000
     -30.64493       0.00000       0.00000
     -30.63193       0.00000       0.00000
     -30.61793       0.00000       0.00000
     -30.60493       0.00000       0.00000
     -30.59193       0.00000       0.00000
     -30.57793       0.00000       0.00000
     -30.56493       0.00000       0.00000
     -30.55193       0.00000       0.00000
     -30.53793       0.00000       0.00000
     -30.52493       0.00000       0.00000
     -30.51193       0.00000       0.00000
     -30.49793       0.00000       0.00000
     -30.48493       0.00000       0.00000
     -30.47193       0.00000       0.00000
     -30.45793       0.00000       0.00000
     -30.44493       0.00000       0.00000
     -30.43193       0.00000       0.00000
     -30.41793       0.00000       0.00000
     -30.40493       0.00000       0.00000
     -30.39193       0.00000       0.00000
     -30.37793       0.00000       0.00000
     -30.36493       0.00000       0.00000
     -30.35193       0.00000       0.00000
     -30.33793       0.00000       0.00000
     -30.32493       0.00000       0.00000
     -30.31193       0.00000       0.00000
     -30.29793       0.00000       0.00000
     -30.28493       0.00000       0.00000
     -30.27193       0.00000       0.00000
     -30.25793       0.00000       0.00000
     -30.24493       0.00000       0.00000
     -30.23093       0.00000       0.00000
     -30.21793       0.00000       0.00000
     -30.20493       0.00000       0.00000
     -30.19093       0.00000       0.00000
     -30.17793       0.00000       0.00000
     -30.16493       0.00000       0.00000
     -30.15093       0.00000       0.00000
     -30.13793       0.00000       0.00000
     -30.12493       0.00000       0.00000
     -30.11093       0.00000       0.00000
     -30.09793       0.00000       0.00000
     -30.08493       0.00000       0.00000
     -30.07093       0.00000       0.00000
     -30.05793       0.00000       0.00000
     -30.04493       0.00000       0.00000
     -30.03093       0.00000       0.00000
     -30.01793       0.00000       0.00000
     -30.00493       0.00000       0.00000
     -29.99093       0.00000       0.00000
     -29.97793       0.00000       0.00000
     -29.96493       0.00000       0.00000
     -29.95093       0.00000       0.00000
     -29.93793       0.00000       0.00000
     -29.92493       0.00000       0.00000
     -29.91093       0.00000       0.00000
     -29.89793       0.00000       0.00000
     -29.88493       0.00000       0.00000
     -29.87093       0.00000       0.00000
     -29.85793       0.00000       0.00000
     -29.84493       0.00000       0.00000
     -29.83093       0.00000       0.00000
     -29.81793       0.00000       0.00000
     -29.80493       0.00000       0.00000
     -29.79093       0.00000       0.00000
     -29.77793       0.00000       0.00000
     -29.76493       0.00000       0.00000
     -29.75093       0.00000       0.00000
     -29.73793       0.00000       0.00000
     -29.72493       0.00000       0.00000
     -29.71093       0.00000       0.00000
     -29.69793       0.00000       0.00000
     -29.68493       0.00000       0.00000
     -29.67093       0.00000       0.00000
     -29.65793       0.00000       0.00000
     -29.64493       0.00000       0.00000
     -29.63093       0.00000       0.00000
     -29.61793       0.00000       0.00000
     -29.60493       0.00000       0.00000
     -29.59093       0.00000       0.00000
     -29.57793       0.00000       0.00000
     -29.56493       0.00000       0.00000
     -29.55093       0.00000       0.00000
     -29.53793       0.00000       0.00000
     -29.52493       0.00000       0.00000
     -29.51093       0.00000       0.00000
     -29.49793       0.00000       0.00000
     -29.48493       0.00000       0.00000
     -29.47093       0.00000       0.00000
     -29.45793       0.00000       0.00000
     -29.44493       0.00000       0.00000
     -29.43093       0.00000       0.00000
     -29.41793       0.00000       0.00000
     -29.40493       0.00000       0.00000
     -29.39093       0.00000       0.00000
     -29.37793       0.00000       0.00000
     -29.36493       0.00000       0.00000
     -29.35093       0.00000       0.00000
     -29.33793       0.00000       0.00000
     -29.32493       0.00000       0.00000
     -29.31093       0.00000       0.00000
     -29.29793       0.00000       0.00000
     -29.28493       0.00000       0.00000
     -29.27093       0.00000       0.00000
     -29.25793       0.00000       0.00000
     -29.24393       0.00000       0.00000
     -29.23093       0.00000       0.00000
     -29.21793       0.00000       0.00000
     -29.20393       0.00000       0.00000
     -29.19093       0.00000       0.00000
     -29.17793       0.00000       0.00000
     -29.16393       0.00000       0.00000
     -29.15093       0.00000       0.00000
     -29.13793       0.00000       0.00000
     -29.12393       0.00000       0.00000
     -29.11093       0.00000       0.00000
     -29.09793       0.00000       0.00000
     -29.08393       0.00000       0.00000
